ad_id,ad_url,ad_start_date,ad_end_date,page_id,page_name,sponsor_name,publisher_platforms,ads_with_same_creative_text,political_disclaimer
841833187350092,https://www.facebook.com/ads/library/?id=841833187350092,2023-10-18,2023-10-19,100079008013135,Anna Carolina,-,"facebook,instagram,messenger,audience_network",1,FALSE
1345575302728816,https://www.facebook.com/ads/library/?id=1345575302728816,2023-10-18,2023-10-18,100090434301203,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
285711744371170,https://www.facebook.com/ads/library/?id=285711744371170,2023-10-18,2023-10-18,100090434301203,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
704599457793649,https://www.facebook.com/ads/library/?id=704599457793649,2023-10-18,2023-10-18,100090434301203,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
1263638251002221,https://www.facebook.com/ads/library/?id=1263638251002221,2023-10-18,2023-10-18,100090434301203,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
1333012703998401,https://www.facebook.com/ads/library/?id=1333012703998401,2023-10-18,2023-10-18,100090434301203,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
1043295137091643,https://www.facebook.com/ads/library/?id=1043295137091643,2023-10-18,2023-10-18,100090434301203,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",2,FALSE
3615173735420567,https://www.facebook.com/ads/library/?id=3615173735420567,2023-10-18,2023-10-18,100090434301203,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
1469175780594732,https://www.facebook.com/ads/library/?id=1469175780594732,2023-10-18,2023-10-18,100064015934141,Carlito Mendes,-,"facebook,instagram,messenger,audience_network",1,FALSE
1943381716062035,https://www.facebook.com/ads/library/?id=1943381716062035,2023-10-18,2023-10-18,100064015934141,Carlito Mendes,-,"facebook,instagram,messenger,audience_network",2,FALSE
1133034511437491,https://www.facebook.com/ads/library/?id=1133034511437491,2023-10-18,2023-10-18,100064015934141,Carlito Mendes,-,"facebook,instagram,messenger,audience_network",2,FALSE
270412332647553,https://www.facebook.com/ads/library/?id=270412332647553,2023-10-18,2023-10-18,100064015934141,Carlito Mendes,-,"facebook,instagram,messenger",2,FALSE
276988077998193,https://www.facebook.com/ads/library/?id=276988077998193,2023-10-18,2023-10-18,100092301429146,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",4,FALSE
825675545703038,https://www.facebook.com/ads/library/?id=825675545703038,2023-10-18,2023-10-18,100092301429146,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",17,FALSE
1408312886700407,https://www.facebook.com/ads/library/?id=1408312886700407,2023-10-18,2023-10-18,100092301429146,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",19,FALSE
1376221659994792,https://www.facebook.com/ads/library/?id=1376221659994792,2023-10-18,2023-10-18,61551508672383,Notícias e Globais,-,"facebook,instagram,messenger,audience_network",1,FALSE
367452365637118,https://www.facebook.com/ads/library/?id=367452365637118,2023-10-18,2023-10-18,61552138184439,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",2,FALSE
849873573180816,https://www.facebook.com/ads/library/?id=849873573180816,2023-10-18,2023-10-18,100081899022458,G1 - Geraldo Alves,-,"facebook,instagram,messenger,audience_network",1,FALSE
1222880918371696,https://www.facebook.com/ads/library/?id=1222880918371696,2023-07-03,2023-10-19,-,Viagens Baratas,-,"facebook,instagram,messenger,audience_network",1,FALSE
352754280429763,https://www.facebook.com/ads/library/?id=352754280429763,2023-10-13,2023-10-18,61552044423214,Programa Voa Brasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
888303212213600,https://www.facebook.com/ads/library/?id=888303212213600,2023-10-18,2023-10-18,61552138184439,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",2,FALSE
723105182774978,https://www.facebook.com/ads/library/?id=723105182774978,2023-10-14,2023-10-19,100095405642042,Dário Henry,-,"facebook,instagram,messenger,audience_network",1,FALSE
1757635431408550,https://www.facebook.com/ads/library/?id=1757635431408550,2023-10-14,2023-10-18,100095405642042,Dário Henry,-,"facebook,instagram,messenger,audience_network",1,FALSE
249056904433786,https://www.facebook.com/ads/library/?id=249056904433786,2023-10-18,2023-10-18,100091921761790,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",3,FALSE
1480009059510226,https://www.facebook.com/ads/library/?id=1480009059510226,2023-10-14,2023-10-18,61552021034274,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
1418883008839017,https://www.facebook.com/ads/library/?id=1418883008839017,2023-10-18,2023-10-18,100091921761790,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",7,FALSE
1374794556722034,https://www.facebook.com/ads/library/?id=1374794556722034,2023-10-16,2023-10-18,61551589109682,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
6879768318740431,https://www.facebook.com/ads/library/?id=6879768318740431,2023-10-16,2023-10-18,61551589109682,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",7,FALSE
3635757736751366,https://www.facebook.com/ads/library/?id=3635757736751366,2023-10-16,2023-10-18,100092025887070,Programa Voa Brasil,-,"facebook,instagram",1,FALSE
1074258980256071,https://www.facebook.com/ads/library/?id=1074258980256071,2023-10-18,2023-10-19,100091921761790,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
199841013131202,https://www.facebook.com/ads/library/?id=199841013131202,2023-10-16,2023-10-18,100092025887070,Programa Voa Brasil,-,"facebook,instagram",6,FALSE
1006232063978843,https://www.facebook.com/ads/library/?id=1006232063978843,2023-10-17,2023-10-18,100092301429146,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
656445632969295,https://www.facebook.com/ads/library/?id=656445632969295,2023-10-17,2023-10-18,100092301429146,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
277453081933911,https://www.facebook.com/ads/library/?id=277453081933911,2023-10-18,2023-10-18,61552522110135,CNN Notícias,-,"facebook,instagram,messenger,audience_network",10,FALSE
1365575524160814,https://www.facebook.com/ads/library/?id=1365575524160814,2023-10-17,2023-10-18,100092301429146,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
225901703611161,https://www.facebook.com/ads/library/?id=225901703611161,2023-10-17,2023-10-18,100092301429146,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
991901828732258,https://www.facebook.com/ads/library/?id=991901828732258,2023-10-16,2023-10-19,61552503990896,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",2,FALSE
532960459035015,https://www.facebook.com/ads/library/?id=532960459035015,2023-10-18,2023-10-19,61552503990896,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",10,FALSE
348909647699911,https://www.facebook.com/ads/library/?id=348909647699911,2023-10-17,2023-10-18,61551416507988,Choquei,-,"facebook,instagram,messenger",1,FALSE
894000195478852,https://www.facebook.com/ads/library/?id=894000195478852,2023-10-17,2023-10-18,61551416507988,Choquei,-,"facebook,instagram,messenger",1,FALSE
1694967540978194,https://www.facebook.com/ads/library/?id=1694967540978194,2023-10-18,2023-10-18,61552522110135,CNN Notícias,-,"facebook,instagram,messenger,audience_network",12,FALSE
1472051203529111,https://www.facebook.com/ads/library/?id=1472051203529111,2023-10-17,2023-10-18,61552109565715,Programa Voa Brasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
1220294195595230,https://www.facebook.com/ads/library/?id=1220294195595230,2023-10-17,2023-10-18,61552109565715,Programa Voa Brasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
996128055019921,https://www.facebook.com/ads/library/?id=996128055019921,2023-10-17,2023-10-18,61552109565715,Programa Voa Brasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
722508826364885,https://www.facebook.com/ads/library/?id=722508826364885,2023-10-18,2023-10-18,61552522110135,CNN Notícias,-,"facebook,instagram,messenger,audience_network",2,FALSE
595002632684917,https://www.facebook.com/ads/library/?id=595002632684917,2023-10-17,2023-10-18,61552109565715,Programa Voa Brasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
285880997619307,https://www.facebook.com/ads/library/?id=285880997619307,2023-10-17,2023-10-18,61552109565715,Programa Voa Brasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
736321411664044,https://www.facebook.com/ads/library/?id=736321411664044,2023-10-17,2023-10-18,61552109565715,Programa Voa Brasil,-,"facebook,instagram,messenger,audience_network",2,FALSE
1167659041266357,https://www.facebook.com/ads/library/?id=1167659041266357,2023-10-17,2023-10-19,61551684844550,Jornal Brasil,-,"facebook,instagram,messenger",3,FALSE
199079356544187,https://www.facebook.com/ads/library/?id=199079356544187,2023-10-17,2023-10-19,61550894142923,Passagem barata,-,"facebook,instagram,messenger,audience_network",7,FALSE
313018851446031,https://www.facebook.com/ads/library/?id=313018851446031,2023-10-17,2023-10-18,100092301429146,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",40,FALSE
233057206442821,https://www.facebook.com/ads/library/?id=233057206442821,2023-10-18,2023-10-19,61552696100075,CNN News,-,"facebook,instagram,messenger,audience_network",12,FALSE
194761316986676,https://www.facebook.com/ads/library/?id=194761316986676,2023-10-17,2023-10-18,100092301429146,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",38,FALSE
1381344335816276,https://www.facebook.com/ads/library/?id=1381344335816276,2023-10-18,2023-10-18,61551257321426,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",9,FALSE
865945211752041,https://www.facebook.com/ads/library/?id=865945211752041,2023-10-17,2023-10-18,61552556459711,Voa Brasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
255098984199954,https://www.facebook.com/ads/library/?id=255098984199954,2023-10-17,2023-10-18,61550894142923,Passagem barata,-,"facebook,instagram,messenger,audience_network",6,FALSE
1383787229012391,https://www.facebook.com/ads/library/?id=1383787229012391,2023-10-17,2023-10-18,61550894142923,Passagem barata,-,"facebook,instagram,messenger,audience_network",1,FALSE
812644240603386,https://www.facebook.com/ads/library/?id=812644240603386,2023-10-18,2023-10-18,100090434301203,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
693037056093682,https://www.facebook.com/ads/library/?id=693037056093682,2023-10-18,2023-10-18,100090434301203,Programa VoaBrasil,-,"facebook,instagram,messenger,audience_network",1,FALSE
275981305412282,https://www.facebook.com/ads/library/?id=275981305412282,2023-10-18,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",2,FALSE
551556490461177,https://www.facebook.com/ads/library/?id=551556490461177,2023-10-18,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",1,FALSE
642136921375633,https://www.facebook.com/ads/library/?id=642136921375633,2023-10-18,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",1,FALSE
704101871752884,https://www.facebook.com/ads/library/?id=704101871752884,2023-10-18,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",1,FALSE
841669443987029,https://www.facebook.com/ads/library/?id=841669443987029,2023-10-18,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",2,FALSE
842905137311009,https://www.facebook.com/ads/library/?id=842905137311009,2023-10-18,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",1,FALSE
854689202975618,https://www.facebook.com/ads/library/?id=854689202975618,2023-10-19,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",1,FALSE
1001617197808750,https://www.facebook.com/ads/library/?id=1001617197808750,2023-10-18,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",2,FALSE
1071038237399279,https://www.facebook.com/ads/library/?id=1071038237399279,2023-10-18,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",1,FALSE
1117346756313337,https://www.facebook.com/ads/library/?id=1117346756313337,2023-10-19,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",1,FALSE
6668772463159855,https://www.facebook.com/ads/library/?id=6668772463159855,2023-10-18,2023-10-19,61550578417662,Fernanda Rabelo,-,"facebook,instagram,messenger",1,FALSE
269595079401135,https://www.facebook.com/ads/library/?id=269595079401135,2023-10-18,2023-10-18,100088858272855,Larissa Lima,-,"facebook,instagram,messenger,audience_network",6,FALSE
203457782768737,https://www.facebook.com/ads/library/?id=203457782768737,2023-10-18,2023-10-19,100090256929632,Nicoli Sanchezz,-,"facebook,instagram,messenger,audience_network",9,FALSE
1248084665848928,https://www.facebook.com/ads/library/?id=1248084665848928,2023-10-18,2023-10-19,100090256929632,Nicoli Sanchezz,-,"facebook,instagram,messenger,audience_network",3,FALSE
298454806378586,https://www.facebook.com/ads/library/?id=298454806378586,2023-10-18,2023-10-19,100088858272855,Larissa Lima,-,"facebook,instagram,messenger,audience_network",15,FALSE
175291772298264,https://www.facebook.com/ads/library/?id=175291772298264,2023-10-18,2023-10-19,100090256929632,Nicoli Sanchezz,-,"facebook,instagram,messenger,audience_network",6,FALSE
288753783991219,https://www.facebook.com/ads/library/?id=288753783991219,2023-10-18,2023-10-19,100092941846365,Roberta Morais,-,"facebook,instagram,messenger,audience_network",18,FALSE
171730282596196,https://www.facebook.com/ads/library/?id=171730282596196,2023-10-18,2023-10-19,61550310592838,Notícias Atuais,-,"facebook,instagram,messenger,audience_network",1,FALSE
1073741496953079,https://www.facebook.com/ads/library/?id=1073741496953079,2023-10-18,2023-10-19,61550310592838,Notícias Atuais,-,"facebook,instagram,messenger,audience_network",1,FALSE
131176236753142,https://www.facebook.com/ads/library/?id=131176236753142,2023-10-18,2023-10-19,61550571951523,Jornal do Povo,-,"facebook,instagram,messenger,audience_network",12,FALSE
221826564070729,https://www.facebook.com/ads/library/?id=221826564070729,2023-10-18,2023-10-18,61552522110135,CNN Notícias,-,"facebook,instagram,messenger,audience_network",20,FALSE
665042122275553,https://www.facebook.com/ads/library/?id=665042122275553,2023-10-18,2023-10-18,61552522110135,CNN Notícias,-,"facebook,instagram,messenger,audience_network",21,FALSE
690535399683217,https://www.facebook.com/ads/library/?id=690535399683217,2023-10-18,2023-10-19,61552163612557,Geovanna Camargo,-,"facebook,instagram,messenger,audience_network",1,FALSE
