ad_id,ad_url,ad_start_date,ad_end_date,page_id,page_name,sponsor_name,publisher_platforms,ads_with_same_creative_text,political_disclaimer
931728444819737,https://www.facebook.com/ads/library/?id=931728444819737,2023-05-10,-,113413305067372,Melhores ofertas,-,"facebook,instagram,messenger,audience_network",1,FALSE
189224134020017,https://www.facebook.com/ads/library/?id=189224134020017,2023-05-07,-,110156260349607,Lab Center,-,"facebook,instagram,messenger,audience_network",1,FALSE
568387618740241,https://www.facebook.com/ads/library/?id=568387618740241,2023-05-09,-,100091506069870,24hrs de ofertas,-,"facebook,instagram,messenger",5,FALSE
1614122695754440,https://www.facebook.com/ads/library/?id=1614122695754440,2023-05-09,-,100092526792312,Loja Verificada,-,"facebook,instagram",4,FALSE
537995875211511,https://www.facebook.com/ads/library/?id=537995875211511,2023-05-09,-,100092666916358,Casa das Panelas,-,"facebook,instagram",5,FALSE
615400826917198,https://www.facebook.com/ads/library/?id=615400826917198,2023-05-09,-,100089650372672,clinicaharmonia.ofc,-,"facebook,instagram,messenger,audience_network",1,FALSE
233162725974434,https://www.facebook.com/ads/library/?id=233162725974434,2023-05-09,-,100091839384845,Aéreo 70%,-,"facebook,",2,FALSE
808667544135429,https://www.facebook.com/ads/library/?id=808667544135429,2023-04-27,-,105939507887763,Mapeando Artistas,-,"facebook,instagram,messenger,audience_network",1,FALSE
1347570172671451,https://www.facebook.com/ads/library/?id=1347570172671451,2023-02-07,-,100090059083909,Super Promoção,-,"facebook,instagram,messenger,audience_network",1,FALSE
471712251668313,https://www.facebook.com/ads/library/?id=471712251668313,2023-02-02,-,100640732951389,Ofertas de Carnaval SubMarinooficial,-,"facebook,instagram,messenger,audience_network",1,FALSE
562295502722176,https://www.facebook.com/ads/library/?id=562295502722176,2023-05-09,-,100092294085670,Bruna Jurandi da Silva,-,"facebook,instagram,messenger,audience_network",1,FALSE
798965078569212,https://www.facebook.com/ads/library/?id=798965078569212,2023-05-10,-,100092676756191,Torra Torra em Promoção,-,"facebook,instagram,messenger,audience_network",1,FALSE
255676293697676,https://www.facebook.com/ads/library/?id=255676293697676,2023-05-10,-,100089989904932,Início - Promoções,-,"facebook,instagram,messenger,audience_network",1,FALSE
565383935642635,https://www.facebook.com/ads/library/?id=565383935642635,2023-05-09,-,100092352230520,Ofertas do Dia,-,"facebook,instagram,messenger,audience_network",1,FALSE
3595209427429987,https://www.facebook.com/ads/library/?id=3595209427429987,2023-05-09,-,100091658272889,Tanquinho,-,"facebook,messenger",1,FALSE
937425727308973,https://www.facebook.com/ads/library/?id=937425727308973,2023-05-09,-,100092226921169,Semana de Ofertas,-,"facebook,messenger",1,FALSE
196940336493062,https://www.facebook.com/ads/library/?id=196940336493062,2023-05-08,-,100092585610227,Método Ganhe em Dólar,-,"facebook,instagram,messenger",1,FALSE
497579152532058,https://www.facebook.com/ads/library/?id=497579152532058,2023-02-01,-,100089619654489,Casa mais promo,-,"facebook,instagram",1,FALSE
194635340100884,https://www.facebook.com/ads/library/?id=194635340100884,2023-05-09,-,100090640130582,魔法大厦,-,"facebook,instagram,messenger,audience_network",10,FALSE
1662447744194695,https://www.facebook.com/ads/library/?id=1662447744194695,2023-05-09,-,100092219351179,Promo Bike Aro 16,-,"facebook,",1,FALSE
258624026565388,https://www.facebook.com/ads/library/?id=258624026565388,2023-05-10,-,116454214674568,Dr. Rubens,-,"facebook,instagram,messenger,audience_network",12,FALSE
1252148168725047,https://www.facebook.com/ads/library/?id=1252148168725047,2023-05-09,-,100092286408173,Franscisco Neto,-,"facebook,",1,FALSE
682291056919837,https://www.facebook.com/ads/library/?id=682291056919837,2023-05-09,-,100091247707090,Biblia Secreta de Cura Natural,-,"facebook,instagram,audience_network",12,FALSE
776072200834299,https://www.facebook.com/ads/library/?id=776072200834299,2023-05-10,-,100092183457921,marketing7775,-,"facebook,instagram",1,FALSE
