ad_id,ad_url,ad_start_date,ad_end_date,page_id,page_name,sponsor_name,publisher_platforms,ads_with_same_creative_text,political_disclaimer
1923873131327467,https://www.facebook.com/ads/library/?id=1923873131327467,2023-07-25,-,100094865714118,Desenrola Brasil,-,facebook,1,FALSE
1010360013437177,https://www.facebook.com/ads/library/?id=1010360013437177,2023-07-25,-,100094618257099,Consulta 100% online,-,"facebook,instagram,messenger,audience_network",2,FALSE
2598733896957198,https://www.facebook.com/ads/library/?id=2598733896957198,2023-07-25,-,100095235728794,Desenrola Brasil negociação de dívidas,-,"facebook,instagram",1,FALSE
250375884434368,https://www.facebook.com/ads/library/?id=250375884434368,2023-07-26,-,100094922295481,Dra Patrícia Lima,-,"facebook,instagram,messenger,audience_network",3,FALSE
306723601893209,https://www.facebook.com/ads/library/?id=306723601893209,2023-07-25,-,100094183276285,Mariana Ferreira,-,"facebook,instagram,messenger,audience_network",1,FALSE
595802522448083,https://www.facebook.com/ads/library/?id=595802522448083,2023-07-25,-,100093313128103,Informações Diárias,-,facebook,1,FALSE
1724311508017592,https://www.facebook.com/ads/library/?id=1724311508017592,2023-07-25,-,100093313128103,Informações Diárias,-,facebook,1,FALSE
818491146550199,https://www.facebook.com/ads/library/?id=818491146550199,2023-07-25,-,100093313128103,Informações Diárias,-,facebook,1,FALSE
325918943098982,https://www.facebook.com/ads/library/?id=325918943098982,2023-07-25,-,100093313128103,Informações Diárias,-,facebook,1,FALSE
668937361808721,https://www.facebook.com/ads/library/?id=668937361808721,2023-07-25,-,100094731438079,Feirão Acordo,-,"facebook,instagram",1,FALSE
1191358355043332,https://www.facebook.com/ads/library/?id=1191358355043332,2023-07-26,-,100095128779461,Desenrola Brasil,-,facebook,1,FALSE
1815365742211481,https://www.facebook.com/ads/library/?id=1815365742211481,2023-07-26,-,100090696768532,Cintia Alvarez,-,"facebook,instagram,messenger,audience_network",1,FALSE
1489929508485542,https://www.facebook.com/ads/library/?id=1489929508485542,2023-07-26,-,100090696768532,Cintia Alvarez,-,"facebook,instagram,messenger,audience_network",1,FALSE
603528821850616,https://www.facebook.com/ads/library/?id=603528821850616,2023-07-26,-,100090696768532,Cintia Alvarez,-,"facebook,instagram,messenger,audience_network",1,FALSE
308671628246014,https://www.facebook.com/ads/library/?id=308671628246014,2023-07-26,-,100092079922128,Mulheres Empoderadas,-,"facebook,instagram,messenger,audience_network",5,FALSE
1457183148392854,https://www.facebook.com/ads/library/?id=1457183148392854,2023-07-27,-,100092079922128,Mulheres Empoderadas,-,"facebook,instagram,messenger,audience_network",6,FALSE
287874970584041,https://www.facebook.com/ads/library/?id=287874970584041,2023-07-27,-,100095285287568,Choqueii,-,"facebook,instagram,messenger,audience_network",2,FALSE
797175085229986,https://www.facebook.com/ads/library/?id=797175085229986,2023-07-27,-,100093062156454,Informações Diárias,-,facebook,30,FALSE
1644482786053159,https://www.facebook.com/ads/library/?id=1644482786053159,2023-07-27,-,100093062156454,Informações Diárias,-,facebook,2,FALSE
1436520157081217,https://www.facebook.com/ads/library/?id=1436520157081217,2023-07-29,2023-08-01,100093062156454,Informações Diárias,-,facebook,43,FALSE
669828021685245,https://www.facebook.com/ads/library/?id=669828021685245,2023-07-29,2023-08-01,100093062156454,Informações Diárias,-,facebook,25,FALSE
976822293650202,https://www.facebook.com/ads/library/?id=976822293650202,2023-07-31,2023-07-31,113300301833599,R7 noticias,-,"facebook,instagram,messenger,audience_network",1,FALSE
1439075716925941,https://www.facebook.com/ads/library/?id=1439075716925941,2023-07-31,2023-07-31,113300301833599,R7 noticias,-,"facebook,instagram,messenger,audience_network",1,FALSE
181976464770399,https://www.facebook.com/ads/library/?id=181976464770399,2023-07-31,2023-07-31,100094749728582,Bianca Mereira,-,"facebook,instagram,messenger,audience_network",1,FALSE
630097312548331,https://www.facebook.com/ads/library/?id=630097312548331,2023-07-31,2023-07-31,100094749728582,Bianca Mereira,-,"facebook,instagram,messenger,audience_network",1,FALSE
972554313952748,https://www.facebook.com/ads/library/?id=972554313952748,2023-07-29,2023-08-02,100092247850805,Sophia dicas,-,"facebook,instagram,messenger,audience_network",1,FALSE
